manufacture,bssid,ip,idle_time,site_id,rx_rate,ap_mac,psk_id,dual_band,vlan_id,num_locating_aps,uptime,ssid,rx_pkts,proto,tx_retries,hostname,tx_bps,key_mgmt,channel,rssi,username,family,map_id,airwatch,rx_retries,band,mac,snr,is_guest,tx_bytes,annotation,tx_rate,rx_bps,_id,tx_pkts,rx_bytes,_ttl,ap_id,y,x,model,wlan_id,os,last_seen
Apple,5c5b352d55e3,10.126.34.48,4,35202dd0-0530-4b81-8a01-a47e0624dcf7,18.0,5c5b358e18f6,,False,1,1,17573,REMO,2390,ac,132,MIDEA1288IPM102,0,WPA2-EAP-FT/CCMP,36,-58,MIDEA1288IPM102,iPad,a8c85fdd-4c9e-4415-b307-6685a0aeba48,,221,5,9c84bf3d3ce3,34,False,818666,unknown,156.0,0,9c84bf3d3ce3,1441,553657,270,00000000-0000-0000-1000-5c5b358e18f6,963.8897344740076,1553.2966703882548,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756730
Samsung Electronics Co.,5c5b352d59a2,192.168.102.207,12,35202dd0-0530-4b81-8a01-a47e0624dcf7,18.0,5c5b358e195a,,False,100,1,55604,DATA_TRANSFER_NETWORK,54243,n,46,Galaxy-Tab-A-8,0,WPA2-PSK/CCMP,149,-55,,,a8c85fdd-4c9e-4415-b307-6685a0aeba48,,4079,5,108ee0639cfc,36,False,132779226,unknown,135.0,0,108ee0639cfc,96554,7066456,250,00000000-0000-0000-1000-5c5b358e195a,1037.2692267359084,2773.341597433909,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756711
Apple,5c5b352d5853,10.126.34.28,87,35202dd0-0530-4b81-8a01-a47e0624dcf7,18.0,5c5b358e1937,,False,1,1,3761,REMO,3033,n,169,MIDEA1288INV01,0,WPA2-EAP-FT/CCMP,64,-58,MIDEA1288INV01,iPhone,a8c85fdd-4c9e-4415-b307-6685a0aeba48,,49,5,0874026f19d1,34,False,531761,unknown,72.2,0,0874026f19d1,1293,607364,246,00000000-0000-0000-1000-5c5b358e1937,1267.6117463592477,334.3093288695968,5s Americas,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.3.1,1542756706
Apple,5c5b352d5612,192.168.103.27,252,35202dd0-0530-4b81-8a01-a47e0624dcf7,13.0,5c5b358e18fb,,False,100,1,717,DATA_TRANSFER_NETWORK,951,ac,81,,0,WPA2-PSK/CCMP,48,-91,,,a8c85fdd-4c9e-4415-b307-6685a0aeba48,,76,5,74b5873352ff,1,False,163950,unknown,108.0,0,74b5873352ff,440,162865,215,00000000-0000-0000-1000-5c5b358e18fb,1020.5520871208092,1755.0890045356373,,b29415a8-7155-4027-9355-f01d07482012,,1542756676
manufacture,bssid,ip,idle_time,site_id,rx_rate,ap_mac,psk_id,dual_band,vlan_id,num_locating_aps,uptime,ssid,rx_pkts,proto,tx_retries,hostname,tx_bps,key_mgmt,channel,rssi,username,family,map_id,airwatch,rx_retries,band,mac,snr,is_guest,tx_bytes,annotation,tx_rate,rx_bps,_id,tx_pkts,rx_bytes,_ttl,ap_id,y,x,model,wlan_id,os,last_seen
Apple,5c5b352d4833,10.78.114.39,67,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1789,,False,1,1,2792,REMO,163,ac,8,ILLIN5017IPM104,0,WPA2-EAP-FT/CCMP,64,-58,ILLIN5017IPM104,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,32,5,9c84bf3ad2c5,34,False,2111,unknown,173.3,0,9c84bf3ad2c5,37,9910,299,00000000-0000-0000-1000-5c5b358e1789,518.0129222813055,1056.6355706476004,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756737
Apple,5c5b352d57c3,10.78.114.22,52,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1928,,False,1,1,1578,REMO,205,ac,16,ILLIN5017IPM107,0,WPA2-EAP-FT/CCMP,44,-43,ILLIN5017IPM107,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,22,5,9c84bf3bf6ef,49,False,33706,unknown,130.0,0,9c84bf3bf6ef,99,23653,293,00000000-0000-0000-1000-5c5b358e1928,220.14833418343193,205.9884484508854,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,12.1,1542756718
Apple,5c5b352d4833,10.78.114.32,69,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1789,,False,1,1,16078,REMO,19260,ac,1249,ILLIN5017IPM105,0,WPA2-EAP-FT/CCMP,64,-53,ILLIN5017IPM105,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,347,5,9c84bf42f773,39,False,19206491,unknown,173.3,0,9c84bf42f773,17616,5384239,287,00000000-0000-0000-1000-5c5b358e1789,455.2010824025623,1143.8669975237065,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756737
TCT mobile ltd,5c5b352d5871,192.168.103.232,0,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e193c,,False,100,1,370927,DATA_TRANSFER_NETWORK,708121,n,123459,,199,WPA2-PSK/CCMP,11,-45,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,22911,24,e0e62edddf55,42,False,510784714,unknown,65.0,1622,e0e62edddf55,393438,65970976,285,00000000-0000-0000-1000-5c5b358e193c,430.4802558984426,789.8278580595962,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756710
Murata Manufacturing Co.,5c5b352d4832,192.168.100.182,4,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1789,,False,100,1,25666,PRODUCT_DEMO_NETWORK,144783,ac,32058,android-275afee6eab3926f,0,WPA2-PSK/CCMP,64,-64,,Samsung Galaxy,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,11988,5,784b874809cb,28,False,231855265,unknown,130.0,0,784b874809cb,184975,18688080,283,00000000-0000-0000-1000-5c5b358e1789,530.2908579916888,1228.7944975848368,S5,7f5b5549-a909-4968-9702-0a09a4397691,Lollipop,1542756737
QCOM TECHNOLOGY INC.,5c5b352d5882,192.168.103.88,17,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e193c,,False,100,1,95331,DATA_TRANSFER_NETWORK,69679,ac,3036,Touch2-7005296,0,WPA2-PSK/CCMP,149,-69,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,6092,5,000df0c6649f,16,False,156370613,unknown,180.0,0,000df0c6649f,59688,13706971,282,00000000-0000-0000-1000-5c5b358e193c,545.2929454578975,624.5821165613428,,b29415a8-7155-4027-9355-f01d07482012,Windows 10,1542756710
Apple,5c5b352d4833,10.78.114.26,49,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1789,,False,1,1,2288,REMO,2040,ac,100,ILLIN5017IPM106,0,WPA2-EAP-FT/CCMP,64,-48,ILLIN5017IPM106,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,53,5,9c84bf3f3bfb,44,False,1732796,unknown,156.0,0,9c84bf3f3bfb,1658,461984,279,00000000-0000-0000-1000-5c5b358e1789,412.9116833530976,1115.3439936684551,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756737
Apple,5c5b352d40b3,10.78.114.48,6,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e16c1,,False,1,1,1711,REMO,207,ac,15,ILLIN5017IPM110,0,WPA2-EAP-FT/CCMP,52,-45,ILLIN5017IPM110,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,28,5,9c84bf48ca37,47,False,55445,unknown,117.0,0,9c84bf48ca37,88,20826,279,00000000-0000-0000-1000-5c5b358e16c1,372.61531227771917,526.4701522814477,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756732
Apple,5c5b352d57c3,10.78.114.37,51,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1928,,False,1,1,37428,REMO,4287,ac,24,ILLIN5017IPM109,0,WPA2-EAP-FT/CCMP,44,-45,ILLIN5017IPM109,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,440,5,9c84bf48dd03,47,False,1547773,unknown,156.0,0,9c84bf48dd03,2386,780599,277,00000000-0000-0000-1000-5c5b358e1928,181.2294631863339,211.59493234017654,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756718
Samsung Electronics Co.,5c5b352d4832,192.168.102.245,6,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1789,,False,100,1,12633,PRODUCT_DEMO_NETWORK,147997,ac,39281,Galaxy-A6,0,WPA2-PSK/CCMP,64,-52,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,9901,5,c493d9c94834,40,False,269041681,unknown,86.6,0,c493d9c94834,120518,19602378,276,00000000-0000-0000-1000-5c5b358e1789,445.26250570099717,1146.5336762414404,,7f5b5549-a909-4968-9702-0a09a4397691,Linux,1542756737
Apple,5c5b352d4833,10.78.114.28,70,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1789,,False,1,1,17445,REMO,36376,ac,2976,ILLIN5017IPM103,0,WPA2-EAP-FT/CCMP,64,-50,ILLIN5017IPM103,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,412,5,9c84bf3a62cc,42,False,95618003,unknown,173.3,0,9c84bf3a62cc,48312,9206256,276,00000000-0000-0000-1000-5c5b358e1789,430.9408744183936,1056.1246357780292,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756737
Samsung Electronics Co.,5c5b352d4832,192.168.100.96,5,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1789,,False,100,1,12622,PRODUCT_DEMO_NETWORK,14408,n,710,Galaxy-Tab-A-8,0,WPA2-PSK/CCMP,64,-48,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,378,5,108ee0639bae,44,False,17618790,unknown,72.2,0,108ee0639bae,13251,2020039,276,00000000-0000-0000-1000-5c5b358e1789,455.3422403990967,1118.4297996754326,,7f5b5549-a909-4968-9702-0a09a4397691,Linux,1542756737
LG Electronics (Mobile Communications),5c5b352d4e02,192.168.102.218,1,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1824,,False,100,1,234263,DATA_TRANSFER_NETWORK,38562,ac,369,android-7c0d451088625a14,0,WPA2-PSK/CCMP,161,-52,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,1555,5,08d46ad34869,40,False,20605689,unknown,200.0,871,08d46ad34869,26458,7484051,275,00000000-0000-0000-1000-5c5b358e1824,201.16534973159924,1061.2381994559073,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756732
TCT mobile ltd,5c5b352d4e02,192.168.103.231,1,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1824,,False,100,1,371054,DATA_TRANSFER_NETWORK,855926,ac,11401,,1399,WPA2-PSK/CCMP,161,-46,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,43321,5,e0e62ee235bb,46,False,800820581,unknown,200.0,1743,e0e62ee235bb,589391,67837993,272,00000000-0000-0000-1000-5c5b358e1824,232.6655228190767,1045.516930657433,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756732
TCT mobile ltd,5c5b352d4e02,192.168.102.217,9,c865fda8-1020-4e2c-955a-6b4f089b654b,6.0,5c5b358e1824,,False,100,1,373471,DATA_TRANSFER_NETWORK,605881,n,44748,,0,WPA2-PSK/CCMP,161,-41,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,4840,5,e0e62e9609b9,51,False,360096118,unknown,150.0,0,e0e62e9609b9,340179,67012101,272,00000000-0000-0000-1000-5c5b358e1824,269.7289586662066,1056.9246481745622,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756732
Apple,5c5b352d4e02,192.168.100.223,143,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1824,,False,100,1,3480,DATA_TRANSFER_NETWORK,4348,ac,674,iPhone,0,WPA2-PSK/CCMP,161,-86,,iPhone,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,244,5,f83880b481fa,6,False,1516104,unknown,400.0,0,f83880b481fa,2757,5332142,271,00000000-0000-0000-1000-5c5b358e1824,339.09830095751767,947.3730027627704,XS Max,b29415a8-7155-4027-9355-f01d07482012,12.1,1542756732
OnePlus Technology (Shenzhen) Co.,5c5b352d5882,192.168.102.216,2,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e193c,,False,100,1,964000,DATA_TRANSFER_NETWORK,189568,ac,10783,OnePlus_6T,0,WPA2-PSK/CCMP,149,-47,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,3808,5,64a2f9dc7160,38,False,357480515,unknown,400.0,143,64a2f9dc7160,199419,71556841,267,00000000-0000-0000-1000-5c5b358e193c,457.0326019193384,797.1757574406283,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756710
Apple,5c5b352d57c3,10.78.114.35,51,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1928,,False,1,1,44598,REMO,5735,ac,7,ILLIN5017IPM108,0,WPA2-EAP-FT/CCMP,44,-46,ILLIN5017IPM108,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,565,5,9c84bf3f4174,46,False,8187547,unknown,156.0,0,9c84bf3f4174,4922,959456,258,00000000-0000-0000-1000-5c5b358e1928,179.03593377928533,204.18292571474632,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756718
QCOM TECHNOLOGY INC.,5c5b352d57c2,192.168.101.39,8,c865fda8-1020-4e2c-955a-6b4f089b654b,78.0,5c5b358e1928,,False,100,1,77777,PRODUCT_DEMO_NETWORK,59600,ac,5082,Touch2-7005283,0,WPA2-PSK/CCMP,44,-69,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,1274,5,000df0c6adf2,23,False,80060267,unknown,78.0,0,000df0c6adf2,51072,13421136,258,00000000-0000-0000-1000-5c5b358e1928,54.435858050478735,117.8571184914917,,7f5b5549-a909-4968-9702-0a09a4397691,Windows 10,1542756718
Apple,5c5b352d57c3,10.78.114.58,49,c865fda8-1020-4e2c-955a-6b4f089b654b,18.0,5c5b358e1928,,False,1,1,41012,REMO,3399,ac,47,ILLIN5017IPM101,0,WPA2-EAP-FT/CCMP,44,-55,ILLIN5017IPM101,iPad,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,395,5,9c84bf3bf524,37,False,1154312,unknown,173.3,0,9c84bf3bf524,1908,617588,258,00000000-0000-0000-1000-5c5b358e1928,148.42192995820076,180.57784889632862,Mini 4 + Cellular,984ecc97-65f7-414c-bde2-5cfb77d6afd7,11.4.1,1542756718
Hon Hai Precision Ind. Co.,5c5b352d5871,192.168.103.169,1,c865fda8-1020-4e2c-955a-6b4f089b654b,65.0,5c5b358e193c,,False,100,1,370585,DATA_TRANSFER_NETWORK,6719104,n,8338420,android-f57875da27ba787c,18409,WPA2-PSK/CCMP,11,-41,,,3546c7c0-3ed2-4cff-829f-f5e31ca399bc,,894,24,9c305b93e94f,46,False,40674893584,unknown,117.0,9848,9c305b93e94f,27365453,937952972,250,00000000-0000-0000-1000-5c5b358e193c,413.676395273981,819.5483998170174,,b29415a8-7155-4027-9355-f01d07482012,Nougat,1542756710
manufacture,bssid,ip,idle_time,site_id,rx_rate,ap_mac,psk_id,dual_band,vlan_id,num_locating_aps,uptime,ssid,rx_pkts,proto,tx_retries,hostname,tx_bps,key_mgmt,channel,rssi,username,family,map_id,airwatch,rx_retries,band,mac,snr,is_guest,tx_bytes,annotation,tx_rate,rx_bps,_id,tx_pkts,rx_bytes,_ttl,ap_id,y,x,model,wlan_id,os,last_seen
Samsung Electronics Co.,5c5b352d4cb2,192.168.100.197,11,f08da775-86cd-4757-b204-2d8c66f9cf51,6.5,5c5b358e1801,,False,100,1,48457,DATA_TRANSFER_NETWORK,144186,ac,99987,Galaxy-A6,0,WPA2-PSK/CCMP,36,-51,,,dbfe302f-9361-4423-9df7-10e59db5eece,,8655,5,c493d9c94c74,41,False,749812977,unknown,150.0,0,c493d9c94c74,282873,24252422,299,00000000-0000-0000-1000-5c5b358e1801,159.90468901108216,469.0273846403512,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756711
TCT mobile ltd,5c5b352d4fa1,192.168.101.83,3,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1851,,False,100,1,7042,DATA_TRANSFER_NETWORK,109355,n,20671,,0,WPA2-PSK/CCMP,6,-46,,,dbfe302f-9361-4423-9df7-10e59db5eece,,347,24,e0e62eeebaaf,37,False,295029562,unknown,72.2,0,e0e62eeebaaf,204533,13122456,298,00000000-0000-0000-1000-5c5b358e1851,368.45606815083767,568.8726905318409,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756740
Apple,5c5b352d4ce3,10.121.74.41,63,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1806,,False,1,1,16286,REMO,2612,n,517,CODEN0319IPM101,0,WPA2-EAP-FT/CCMP,48,-57,CODEN0319IPM101,iPad,dbfe302f-9361-4423-9df7-10e59db5eece,,7,5,24a2e14cd981,35,False,1697792,unknown,130.0,0,24a2e14cd981,1979,451924,290,00000000-0000-0000-1000-5c5b358e1806,427.036392084981,568.461336658982,Mini 2 + LTE,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.1,1542756715
Apple,5c5b352d4cb2,192.168.101.75,19,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1801,,False,100,1,16694,DATA_TRANSFER_NETWORK,306292,ac,16579,TMobilesiPhone,0,WPA2-PSK/CCMP,36,-49,,iPhone,dbfe302f-9361-4423-9df7-10e59db5eece,,347,5,c0a6002f806f,43,False,2116050573,unknown,360.0,0,c0a6002f806f,771695,136365773,286,00000000-0000-0000-1000-5c5b358e1801,156.97042673794334,475.47238705659305,XS,b29415a8-7155-4027-9355-f01d07482012,12.0.1,1542756711
Apple,5c5b352d5bb3,10.121.74.26,50,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1991,,True,1,1,16461,REMO,84482,n,13517,CODEN0319IPM104,0,WPA2-EAP-FT/CCMP,161,-56,CODEN0319IPM104,iPad,dbfe302f-9361-4423-9df7-10e59db5eece,,379,5,18ee69457d22,36,False,72678635,unknown,144.4,0,18ee69457d22,83444,14153295,281,00000000-0000-0000-1000-5c5b358e1991,182.8921492277824,630.2759725515781,Mini 2 + LTE,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.0.1,1542756724
Apple,5c5b352d5973,10.121.74.23,11,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1955,,True,1,1,10408,REMO,2113,n,45,iPhone,0,WPA2-EAP-FT/CCMP,64,-60,CODEN0319INV01,iPhone,dbfe302f-9361-4423-9df7-10e59db5eece,,18,5,848e0c615194,32,False,392973,unknown,65.0,0,848e0c615194,940,491540,279,00000000-0000-0000-1000-5c5b358e1955,207.25473133049317,476.7895014400605,5s Americas,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.0.1,1542756740
Apple,5c5b352d5973,10.121.74.25,30,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1955,,True,1,1,12132,REMO,1158,n,27,CODEN0319IPM105,0,WPA2-EAP-FT/CCMP,64,-47,CODEN0319IPM105,iPad,dbfe302f-9361-4423-9df7-10e59db5eece,,15,5,24a2e144cb89,45,False,497288,unknown,130.0,0,24a2e144cb89,689,242434,278,00000000-0000-0000-1000-5c5b358e1955,222.89466444235185,438.0548244328023,Mini 2 + LTE,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.0.1,1542756740
OnePlus Technology (Shenzhen) Co.,5c5b352d4fb2,192.168.100.184,20,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1851,,False,100,1,440564,DATA_TRANSFER_NETWORK,97722,ac,219,OnePlus_6T,0,WPA2-PSK/CCMP,149,-44,,,dbfe302f-9361-4423-9df7-10e59db5eece,,1092,5,64a2f9dc6935,48,False,174613814,unknown,400.0,0,64a2f9dc6935,85875,15582405,278,00000000-0000-0000-1000-5c5b358e1851,355.23212648705385,556.7387085465123,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756740
Apple,5c5b352d5973,10.121.74.57,30,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1955,,True,1,1,12132,REMO,1079,n,14,CODEN0319IPM106,0,WPA2-EAP-FT/CCMP,64,-41,CODEN0319IPM106,iPad,dbfe302f-9361-4423-9df7-10e59db5eece,,21,5,18ee69462cda,51,False,205314,unknown,130.0,0,18ee69462cda,506,226690,278,00000000-0000-0000-1000-5c5b358e1955,224.49280996727697,410.9557319259792,Mini 2 + LTE,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.1,1542756740
LG Electronics (Mobile Communications),5c5b352d4fb2,192.168.101.52,5,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1851,,False,100,1,25269,DATA_TRANSFER_NETWORK,144953,n,2104,android-e756a9abb2893bfa,0,WPA2-PSK/CCMP,149,-61,,,dbfe302f-9361-4423-9df7-10e59db5eece,,9324,5,b81daad0d61c,31,False,263552014,unknown,150.0,0,b81daad0d61c,209411,23451933,278,00000000-0000-0000-1000-5c5b358e1851,268.7363660836532,525.734248526994,,b29415a8-7155-4027-9355-f01d07482012,Nougat,1542756740
Apple,5c5b352d4fb2,192.168.101.88,0,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1851,,False,100,1,1598,DATA_TRANSFER_NETWORK,73070,ac,38427,iPhone,3697789,WPA2-PSK/CCMP,149,-53,,,dbfe302f-9361-4423-9df7-10e59db5eece,,2389,5,d81c79c650e6,39,False,250045422,unknown,400.0,110538,d81c79c650e6,90183,10875401,278,00000000-0000-0000-1000-5c5b358e1851,315.7552328065447,580.5738004279526,,b29415a8-7155-4027-9355-f01d07482012,,1542756740
Apple,5c5b352d4fb2,192.168.103.216,10,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1851,,False,100,1,569459,DATA_TRANSFER_NETWORK,109941,ac,2207,iPhone,0,WPA2-PSK/CCMP,149,-48,,iPhone,dbfe302f-9361-4423-9df7-10e59db5eece,,134,5,d81c79edf97a,44,False,71116861,unknown,324.0,0,d81c79edf97a,64961,22462646,278,00000000-0000-0000-1000-5c5b358e1851,347.970186874343,591.9754889275238,,b29415a8-7155-4027-9355-f01d07482012,12.0,1542756740
Apple,5c5b352d4cb2,192.168.101.86,29,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1801,,False,100,1,5230,DATA_TRANSFER_NETWORK,30231,ac,4661,Darins-IPhone,0,WPA2-PSK/CCMP,36,-64,,iPhone,dbfe302f-9361-4423-9df7-10e59db5eece,,890,5,6470331ac02b,28,False,55659110,unknown,400.0,0,6470331ac02b,33913,7021573,274,00000000-0000-0000-1000-5c5b358e1801,89.47366852240046,555.4353194413984,8+,b29415a8-7155-4027-9355-f01d07482012,12.1,1542756712
Apple,5c5b352d5bb3,10.121.74.58,12,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1991,,True,1,1,22573,REMO,2511,n,152,CODEN0319IPM103,0,WPA2-EAP-FT/CCMP,161,-58,CODEN0319IPM103,iPad,dbfe302f-9361-4423-9df7-10e59db5eece,,28,5,18ee6944d099,34,False,492415,unknown,144.4,0,18ee6944d099,1360,528017,263,00000000-0000-0000-1000-5c5b358e1991,161.21759412941995,544.3221584042718,Mini 2 + LTE,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.1,1542756724
TCT mobile ltd,5c5b352d4cb2,192.168.100.237,0,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1801,,False,100,1,442087,DATA_TRANSFER_NETWORK,544441,ac,4789,,199,WPA2-PSK/CCMP,36,-36,,,dbfe302f-9361-4423-9df7-10e59db5eece,,10760,5,e0e62eea7b50,56,False,988862500,unknown,200.0,487,e0e62eea7b50,718163,63276636,252,00000000-0000-0000-1000-5c5b358e1801,141.8804943824624,480.1004484497531,,b29415a8-7155-4027-9355-f01d07482012,Linux,1542756712
Apple,5c5b352d4cb2,192.168.101.90,275,f08da775-86cd-4757-b204-2d8c66f9cf51,6.5,5c5b358e1801,,False,100,1,278,DATA_TRANSFER_NETWORK,86,ac,1071,iPhone,0,WPA2-PSK/CCMP,36,-92,,iPhone,dbfe302f-9361-4423-9df7-10e59db5eece,,58,5,e4b2fb86b587,0,False,59635,unknown,6.5,0,e4b2fb86b587,123,8269,251,00000000-0000-0000-1000-5c5b358e1801,352.58053214200544,508.8648297881823,,b29415a8-7155-4027-9355-f01d07482012,12.0.1,1542756712
Apple,5c5b352d4cb2,192.168.101.78,41,f08da775-86cd-4757-b204-2d8c66f9cf51,18.0,5c5b358e1801,,False,100,1,15845,DATA_TRANSFER_NETWORK,236797,ac,2426,TMobilesiPhone,0,WPA2-PSK/CCMP,36,-45,,iPhone,dbfe302f-9361-4423-9df7-10e59db5eece,,308,5,c0a600dde556,47,False,1362757047,unknown,400.0,0,c0a600dde556,530686,128139425,251,00000000-0000-0000-1000-5c5b358e1801,139.5377188003715,489.449789875108,XS Max,b29415a8-7155-4027-9355-f01d07482012,12.0.1,1542756712
manufacture,bssid,ip,idle_time,site_id,rx_rate,ap_mac,psk_id,dual_band,vlan_id,num_locating_aps,uptime,ssid,rx_pkts,proto,tx_retries,hostname,tx_bps,key_mgmt,channel,rssi,username,family,map_id,airwatch,rx_retries,band,mac,snr,is_guest,tx_bytes,annotation,tx_rate,rx_bps,_id,tx_pkts,rx_bytes,_ttl,ap_id,y,x,model,wlan_id,os,last_seen
Apple,5c5b352b71f2,10.120.140.29,45,28876abf-a7eb-499b-ab62-9af6e5a3e437,18.0,5c5b352f5bda,,False,1,1,22634,REMO,61095,ac,5587,WAKEN8523IPM104,0,WPA2-EAP-FT/CCMP,149,-50,WAKEN8523IPM104,iPad,4269b61d-068e-4287-9d4b-c6b27b71760c,,1071,5,9c84bf44669e,41,False,72186139,unknown,173.3,0,9c84bf44669e,58079,17714523,298,00000000-0000-0000-1000-5c5b352f5bda,392.6475764218216,1589.0884855176992,Mini 4 + Cellular,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.1,1542756706
Apple,5c5b352b7432,10.120.140.51,0,28876abf-a7eb-499b-ab62-9af6e5a3e437,18.0,5c5b352f5c16,,False,1,1,44166,REMO,106892,ac,9413,WAKEN8523IPM110,3676,WPA2-EAP-FT/CCMP,36,-44,WAKEN8523IPM110,iPad,4269b61d-068e-4287-9d4b-c6b27b71760c,,1127,5,9c84bf45cd4f,48,False,194194673,unknown,173.3,9868,9c84bf45cd4f,121560,28981323,298,00000000-0000-0000-1000-5c5b352f5c16,291.2014236916787,1288.6325381383442,Mini 4 + Cellular,e84252b0-0b7f-468e-bbc1-b06636aa1b8f,12.0.1,1542756749
